country,female,married_cohab,less_than_primary_completed,primary_completed,secondary_completed,university_completed,age
Colombia,.53956091,.51953173,.58702344,.27673125,.065362088,.031135021,70.798035
Cuba,.52515811,.57096797,.24202667,.49909824,.194609,.064266071,71.193604
Dominican Republic,.51262712,.53128678,.71915281,.18206176,.062072121,.036713332,71.092125
El Salvador,.55985844,.53317738,.79176784,.1406576,.049874298,.017700244,71.198311
Guatemala,.50222343,.66018373,.82676876,.12310565,.032637004,.017488571,70.875854
Honduras,.51509964,.58634329,.8532235,.096295103,.041764833,.0087165739,70.783714
Mexico,.53372961,.60193163,.44237348,.3674739,.10026575,.08889211,70.824432
Puerto Rico,.55093926,.54376739,.23915078,.2795769,.36302531,.11824701,71.35022
United States,.54025817,.60521048,.031580988,.078034893,.58977181,.3006123,71.103783
